tuple,j_z,j_x,k,beta_z,delta_bar,lambda_z,epsilon_z
"(4,6,10)",4,6,10,0.25,0.07938261,0.9196986029286058,1.4334991471631753e-06
"(4,8,12)",4,8,12,0.2,0.06149048,0.8829106588114618,1.4281469548071968e-06
"(5,7,12)",5,7,12,0.2,0.08415898,0.8829106588114618,1.4333905118402157e-06
"(4,10,14)",4,10,14,0.15,0.04983939,0.7725468264600289,1.4475294152216378e-06
"(5,9,14)",5,9,14,0.15,0.06766342,0.7725468264600289,1.4605926782484957e-06
"(6,8,14)",6,8,14,0.15,0.08764842,0.7725468264600289,1.4392699775322981e-06
"(4,12,16)",4,12,16,0.15,0.0416927,0.8829106588114616,1.4231682091692122e-06
"(5,11,16)",5,11,16,0.15,0.05628065,0.8829106588114616,1.4401975994005056e-06
"(6,10,16)",6,10,16,0.15,0.0724498,0.8829106588114616,1.4385616673440182e-06
"(7,9,16)",7,9,16,0.15,0.09030889,0.8829106588114616,1.4550408781177637e-06
"(4,14,18)",4,14,18,0.15,0.03570112,0.9932744911628942,1.4638147207701735e-06
"(5,13,18)",5,13,18,0.15,0.04798567,0.9932744911628942,1.434444064307705e-06
"(6,12,18)",6,12,18,0.15,0.06149048,0.9932744911628942,1.4281469548071968e-06
"(7,11,18)",7,11,18,0.15,0.07626748,0.9932744911628942,1.4606241760528604e-06
"(8,10,18)",8,10,18,0.15,0.09240427,0.9932744911628942,1.4644202542823948e-06
"(4,16,20)",4,16,20,0.12,0.03112447,0.8829106588114616,1.419066691155102e-06
"(5,15,20)",5,15,20,0.12,0.0416927,0.8829106588114616,1.4231682091692122e-06
"(6,14,20)",6,14,20,0.12,0.05323905,0.8829106588114616,1.4288579506249732e-06
"(7,13,20)",7,13,20,0.12,0.06578671,0.8829106588114616,1.4532025407465454e-06
"(8,12,20)",8,12,20,0.12,0.07938261,0.8829106588114616,1.4334991471631753e-06
"(9,11,20)",9,11,20,0.12,0.09409725,0.8829106588114616,1.445417758261236e-06
"(4,18,22)",4,18,22,0.12,0.02752391,0.9712017246926077,1.4669314825077606e-06
"(5,17,22)",5,17,22,0.12,0.03676814,0.9712017246926077,1.4506198364738765e-06
"(6,16,22)",6,16,22,0.12,0.04681897,0.9712017246926077,1.4264400800545474e-06
"(7,15,22)",7,15,22,0.12,0.057684,0.9712017246926077,1.4664722021162646e-06
"(8,14,22)",8,14,22,0.12,0.0693882,0.9712017246926077,1.456197908478174e-06
"(9,13,22)",9,13,22,0.12,0.08197232,0.9712017246926077,1.4377790307218419e-06
"(10,12,22)",10,12,22,0.12,0.09549354,0.9712017246926077,1.4622611838044364e-06
"(4,20,24)",4,20,24,0.1,0.02462349,0.8829106588114618,1.4249954080058913e-06
"(5,19,24)",5,19,24,0.1,0.0328181,0.8829106588114618,1.4665877048347653e-06
"(6,18,24)",6,18,24,0.1,0.0416927,0.8829106588114618,1.4231682091692122e-06
"(7,17,24)",7,17,24,0.1,0.05124605,0.8829106588114618,1.4421633784955645e-06
"(8,16,24)",8,16,24,0.1,0.06149048,0.8829106588114618,1.4281469548071968e-06
"(9,15,24)",9,15,24,0.1,0.0724498,0.8829106588114618,1.4385616673440182e-06
"(10,14,24)",10,14,24,0.1,0.08415898,0.8829106588114618,1.4333905118402157e-06
"(4,22,26)",4,22,26,0.1,0.02224127,0.9564865470457501,1.4626755117097545e-06
"(5,21,26)",5,21,26,0.1,0.02958527,0.9564865470457501,1.4348195604974023e-06
"(6,20,26)",6,20,26,0.1,0.03751267,0.9564865470457501,1.4267318343419433e-06
"(7,19,26)",7,19,26,0.1,0.04601713,0.9564865470457501,1.4400798181712915e-06
"(8,18,26)",8,18,26,0.1,0.05510337,0.9564865470457501,1.4556472310855995e-06
"(9,17,26)",9,17,26,0.1,0.06478503,0.9564865470457501,1.4466477226138252e-06
"(10,16,26)",10,16,26,0.1,0.07508386,0.9564865470457501,1.4309392474265437e-06
"(4,24,28)",4,24,28,0.08,0.02025272,0.8240499482240309,1.4589029929679143e-06
"(5,23,28)",5,23,28,0.08,0.0268947,0.8240499482240309,1.4307024945869884e-06
"(6,22,28)",6,22,28,0.08,0.03404447,0.8240499482240309,1.4370698863119813e-06
"(7,21,28)",7,21,28,0.08,0.0416927,0.8240499482240309,1.4231682091692122e-06
"(8,20,28)",8,20,28,0.08,0.04983939,0.8240499482240309,1.4475294152216378e-06
"(9,19,28)",9,19,28,0.08,0.0584918,0.8240499482240309,1.433674898243531e-06
"(10,18,28)",10,18,28,0.08,0.06766342,0.8240499482240309,1.4605926782484957e-06
"(4,26,30)",4,26,30,0.08,0.01856981,0.8829106588114616,1.4626701478892556e-06
"(5,25,30)",5,25,30,0.08,0.02462349,0.8829106588114616,1.4249954080058913e-06
"(6,24,30)",6,24,30,0.08,0.03112447,0.8829106588114616,1.419066691155102e-06
"(7,23,30)",7,23,30,0.08,0.03806168,0.8829106588114616,1.4329217208342016e-06
"(8,22,30)",8,22,30,0.08,0.04543217,0.8829106588114616,1.434444226178222e-06
"(9,21,30)",9,21,30,0.08,0.05323905,0.8829106588114616,1.4288579506249732e-06
"(10,20,30)",10,20,30,0.08,0.06149048,0.8829106588114616,1.4281469548071968e-06
