tuple,j_z,j_x,k,beta_x,B_x,epsilon_x
"(4,6,10)",4,6,10,0.1,0.3391293558988729,0.0006144017656131151
"(4,8,12)",4,8,12,0.1,0.08436462382198416,0.011086261381212048
"(5,7,12)",5,7,12,0.15,0.38769051130887333,0.006983659013511945
"(4,10,14)",4,10,14,0.1,0.020288414957284676,0.009808161704059848
"(5,9,14)",5,9,14,0.1,0.0314291929877289,0.010623001542449884
"(6,8,14)",6,8,14,0.15,0.2014223073870397,0.005280004111189451
"(4,12,16)",4,12,16,0.1,0.0047569941226258475,0.007462560761079762
"(5,11,16)",5,11,16,0.1,0.007356908592097896,0.013599785883391835
"(6,10,16)",6,10,16,0.1,0.011549994871309085,0.008888530478262435
"(7,9,16)",7,9,16,0.15,0.10325164301975848,0.004672994076129533
"(4,14,18)",4,14,18,0.1,0.0010939450733944882,0.004407098697342349
"(5,13,18)",5,13,18,0.1,0.0016913491260530415,0.009820772541592415
"(6,12,18)",6,12,18,0.1,0.0026454071849456016,0.01519803814223486
"(7,11,18)",7,11,18,0.1,0.004197916185375777,0.006308391653585876
"(8,10,18)",8,10,18,0.15,0.05235708285359799,0.003575907402482592
"(4,16,20)",4,16,20,0.1,0.0002681242280776095,0.005075977916674024
"(5,15,20)",5,15,20,0.1,0.0003832082653567528,0.010656871565757009
"(6,14,20)",6,14,20,0.1,0.0005981893746086112,0.016201356971232372
"(7,13,20)",7,13,20,0.1,0.0009444367762600823,0.016771744858105397
"(8,12,20)",8,12,20,0.1,0.0015119327405422214,0.007357529464166235
"(9,11,20)",9,11,20,0.15,0.026313299612962807,0.002137359059778521
"(4,18,22)",4,18,22,0.1,6.56707524903879e-05,0.0012690450780540319
"(5,17,22)",5,17,22,0.1,8.579371177064525e-05,0.0059310972691506425
"(6,16,22)",6,16,22,0.1,0.00013379012405585124,0.010569889753096695
"(7,15,22)",7,15,22,0.1,0.00021056860422013192,0.015185426655516032
"(8,14,22)",8,14,22,0.1,0.00033509875282383694,0.011606958638320397
"(9,13,22)",9,13,22,0.1,0.0005404077093855682,0.003861717291113398
"(10,12,22)",10,12,22,0.15,0.01312589773996308,0.0004522955122210348
"(4,20,24)",4,20,24,0.1,1.588136678415291e-05,0.0016114568486429448
"(5,19,24)",5,19,24,0.1,1.976420105693326e-05,0.0063591119823869224
"(6,18,24)",6,18,24,0.1,2.9645489137989947e-05,0.01108350740898012
"(7,17,24)",7,17,24,0.1,4.6565308380372506e-05,0.015784647254046713
"(8,16,24)",8,16,24,0.1,7.381061619609271e-05,0.020462536392066744
"(9,15,24)",9,15,24,0.1,0.00011826308378546438,0.012509477126162794
"(10,14,24)",10,14,24,0.1,0.00019191183186926852,0.004463396283008292
"(4,22,26)",4,22,26,0.15,3.713355333446478e-05,0.006465188602978178
"(5,21,26)",5,21,26,0.1,4.678792915459258e-06,0.0010830443162821446
"(6,20,26)",6,20,26,0.1,6.51680806241724e-06,0.004782834191744634
"(7,19,26)",7,19,26,0.1,1.022311489461366e-05,0.008469565752051822
"(8,18,26)",8,18,26,0.1,1.616045438840457e-05,0.012143240533949329
"(9,17,26)",9,17,26,0.1,2.5775578783309206e-05,0.012582000446928587
"(10,16,26)",10,16,26,0.1,4.15427793883941e-05,0.006537873843661779
"(4,24,28)",4,24,28,0.15,1.080036745811165e-05,0.006795953052098236
"(5,23,28)",5,23,28,0.1,1.0975011077449174e-06,0.001286435042207379
"(6,22,28)",6,22,28,0.1,1.4383690472638905e-06,0.005026903062854915
"(7,21,28)",7,21,28,0.1,2.2301412536466365e-06,0.00875431276834715
"(8,20,28)",8,20,28,0.1,3.518583035448971e-06,0.012468665695429704
"(9,19,28)",9,19,28,0.1,5.593673052989502e-06,0.016169963616971428
"(10,18,28)",10,18,28,0.1,8.970802080807042e-06,0.01328350553381974
"(4,26,30)",4,26,30,0.15,3.119531530943017e-06,0.007082615574669049
"(5,25,30)",5,25,30,0.1,2.5546182702160315e-07,0.0014627070046758783
"(6,24,30)",6,24,30,0.1,3.3237270631238387e-07,0.005238429417817159
"(7,23,30)",7,23,30,0.1,4.837729455747221e-07,0.009001093515803027
"(8,22,30)",8,22,30,0.1,7.622191578223082e-07,0.012750700835379325
"(9,21,30)",9,21,30,0.1,1.2088062928068998e-06,0.016487253149414793
"(10,20,30)",10,20,30,0.1,1.9314608564611785e-06,0.020210752466772952
