marker,category,tuple,r_q,delta_lin_num,delta_gv,ratio_to_gv,note
circle,certified_gv,"(4,6,10)",0.2,0.07938260047941692,0.0793826004806491,0.999999999984478,"Representative rigorously certified GV point"
circle,certified_gv,"(4,8,12)",0.3333333333333333,0.06149047007872415,0.06149047007872416,0.9999999999999999,"Representative rigorously certified GV point"
circle,certified_gv,"(5,9,14)",0.2857142857142857,0.06766341826548503,0.06766341826548503,1.0,"Representative rigorously certified GV point"
circle,certified_gv,"(6,14,20)",0.4,0.05323904077597043,0.05323904077679681,0.999999999984478,"Representative rigorously certified GV point"
circle,certified_gv,"(5,17,22)",0.5454545454545454,0.03676813648941043,0.036768136489981146,0.999999999984478,"Representative rigorously certified GV point"
circle,certified_gv,"(4,20,24)",0.6666666666666666,0.02462348205641004,0.024623482056792247,0.9999999999844779,"Representative rigorously certified GV point"
circle,certified_gv,"(4,26,30)",0.7333333333333333,0.01856980921586346,0.0185698092161517,0.999999999984478,"Representative rigorously certified GV point"
triangle,plot_only_near_gv,"(3,4,7)",0.14285714285714285,0.08743630206036128,0.08764841174895352,0.9975799939284722,"Plot-only near-GV point without certification"
diamond,positive_non_gv,"(3,5,8)",0.25,0.0593383368445195,0.07244979222614903,0.8190270119657119,"Positive proxy but non-GV point"
diamond,positive_non_gv,"(3,7,10)",0.4,0.03563685509877333,0.05323904077679681,0.6693744774286947,"Positive proxy but non-GV point"
diamond,positive_non_gv,"(3,10,13)",0.5384615384615384,0.019840737948448973,0.037512661364622446,0.528907766782989,"Positive proxy but non-GV point"
diamond,positive_non_gv,"(3,14,17)",0.6470588235294118,0.011050283933608764,0.02648978331982821,0.4171526735493293,"Positive proxy but non-GV point"
diamond,positive_non_gv,"(3,26,29)",0.7931034482758621,0.0035689288692729204,0.013541500355964041,0.2635549071710557,"Positive proxy but non-GV point"
